GENOME	metH'	cbp	bmt	mttB	gbcAB	Cob_syn_75_perc	mttB-cbp-metH'	domain	phylum	class	order	family	genus	species
AGAR17-1_SAMN04939375_MAG_00000062	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	JAJDZL01	JAJDZL01	Unknown JAJDZL01
AGAR17-1_SAMN04939364_MAG_00000005	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoponticoccus	Unknown Pseudoponticoccus
AGAR17-1_SAMN04939365_MAG_00000019	1	0	1	0	0	1	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Unknown Gammaproteobacteria	Unknown Gammaproteobacteria	Unknown Gammaproteobacteria	Unknown Gammaproteobacteria
AGAR17-1_SAMN04939377_MAG_00000010	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CANLDA01	Unknown CANLDA01
AGAR17-1_SAMN04939377_MAG_00000002	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Kiloniellales	JACOMY01	JACOMY01	JACOMY01 sp014324045
AGAR17-1_SAMN04939365_MAG_00000007	1	0	1	0	0	1	0	Bacteria	Pseudomonadota	Alphaproteobacteria	GM7ARS4	GM7ARS4	GM7ARS4	GM7ARS4 sp014332745
AGAR17-1_SAMN04939377_MAG_00000008	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Porisulfidales	Oxydemutatoceae	SP5GCR1	SP5GCR1 sp014323925
AGAR17-1_SAMN04939377_MAG_00000013	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Bin95	Bin95	Unknown Bin95	Unknown Bin95
AGAR17-1_SAMN04939365_MAG_00000009	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodophyticola	Rhodophyticola sp014323785
AGAR17-1_SAMN04939365_MAG_00000015	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia_B	Unknown Shimia_B
AGAR17-1_SAMN04939375_MAG_00000076	0	1	1	0	0	0	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	Bin94	Unknown Bin94
AGAR17-1_SAMN04939375_MAG_00000047	1	1	1	0	0	0	0	Bacteria	Latescibacterota	UBA2968	UBA8231	UBA8231	GCA-2724215	Unknown GCA-2724215
AGAR17-1_SAMN04939375_MAG_00000039	1	1	0	0	0	0	0	Bacteria	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	Unknown Bin18
AGAR17-1_SAMN04939375_MAG_00000024	1	1	1	0	0	0	0	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	UBA6623	VXMF01	Unknown VXMF01
AGAR17-1_SAMN04939375_MAG_00000004	0	0	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	UBA6055	Unknown UBA6055
AGAR17-1_SAMN04939363_MAG_00000009	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	Ekhidna sp014323825
AGAR17-1_SAMN04939377_MAG_00000011	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	JACOMS01	JACOMS01 sp014324115
ALNE18-1_SAMEA104408597_MAG_00000034	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales_A	Casp-alpha2	Unknown Casp-alpha2	Unknown Casp-alpha2
ALNE18-1_SAMEA104408597_MAG_00000054	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	UBA2966	UBA2966	Unknown UBA2966	Unknown UBA2966
ALNE18-1_SAMEA104408597_MAG_00000095	1	1	1	0	0	0	0	Bacteria	Myxococcota	UBA796	UBA9615	UBA9615	JAGSHC01	JAGSHC01 sp937891735
ALNE18-1_SAMEA104408597_MAG_00000036	1	0	1	0	0	0	0	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	VA-1	LS-NOB	LS-NOB sp937891765
ALNE18-1_SAMEA104408597_MAG_00000041	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales_A	JABHCV01	Unknown JABHCV01	Unknown JABHCV01
ALNE18-1_SAMEA104408595_MAG_00000019	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CALAXT01	CALAXT01 sp937895435
ALNE18-1_SAMEA104408597_MAG_00000061	1	1	1	0	1	1	0	Bacteria	Pseudomonadota	Alphaproteobacteria	MPNO01	MPNO01	CALGIA01	CALGIA01 sp937916005
ALNE18-1_SAMEA104408595_MAG_00000010	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia	Yoonia sp018402175
ALNE18-1_SAMEA104408596_MAG_00000022	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	UBA10365	UBA10365 sp003536295
ALNE18-1_SAMEA104408595_MAG_00000060	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CAIYZT01	Unknown CAIYZT01
ALNE18-1_SAMEA104408597_MAG_00000060	1	1	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Limisphaerales	SIBE01	JAIPJX01	Unknown JAIPJX01
ALNE18-1_SAMEA104408593_MAG_00000023	1	1	1	0	0	0	0	Bacteria	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	CALGTL01	CALGTL01 sp937901475
ALNE18-1_SAMEA104408597_MAG_00000033	1	1	1	1	1	0	1	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter sp937919625
ALNE18-1_SAMEA104408595_MAG_00000017	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Rhodoluna	Unknown Rhodoluna
ALNE18-1_SAMEA104408595_MAG_00000032	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Pontimonas	Pontimonas sp001438965
ALNE18-1_SAMEA104408596_MAG_00000017	1	1	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	UBA8649	JAFMKE01	Unknown JAFMKE01
ALNE18-1_SAMEA104408593_MAG_00000018	1	1	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	JABMPE01	JABMPE01 sp937904325
ALNE18-1_SAMEA104408596_MAG_00000004	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	JABDKJ01	JABDLZ01	JABDLZ01 sp937875855
ALNE18-1_SAMEA104408592_MAG_00000031	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	JAQWSC01	JAQWSC01 sp030828565
ALNE18-1_SAMEA104408596_MAG_00000013	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	UBA10364	Unknown UBA10364
ALNE18-1_SAMEA104408594_MAG_00000036	1	0	1	0	1	0	0	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Mariniblastus	Mariniblastus sp938083195
ALNE18-1_SAMEA104408595_MAG_00000069	1	0	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Algicoccus	Algicoccus sp017857895
ALNE18-1_SAMEA104408594_MAG_00000048	1	0	0	0	1	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Limisphaerales	UBA1096	UBA1096	UBA1096 sp937770485
ALNE18-1_SAMEA104408599_MAG_00000057	1	0	1	0	1	1	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	Reyranella sp937919085
ALNE18-1_SAMEA104408600_MAG_00000042	1	0	0	0	0	1	0	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp018401645
ALNE18-1_SAMEA104408601_MAG_00000039	1	1	1	0	1	1	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales_A	Casp-alpha2	UBA4479	UBA4479 sp017857825
ALNE18-1_SAMEA104408601_MAG_00000138	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Flavimaricola	Flavimaricola sp937916485
ALNE18-1_SAMEA104408601_MAG_00000009	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius sp937881735
ALNE18-1_SAMEA104408598_MAG_00000063	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Zwartia	Unknown Zwartia
ALNE18-1_SAMEA104408598_MAG_00000043	1	0	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Unknown Rhodoferax
ALNE18-1_SAMEA104408600_MAG_00000004	1	1	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-41	UBA5216	Unknown UBA5216
ALNE18-1_SAMEA104408600_MAG_00000063	1	1	1	0	0	0	0	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	SCN-69-37	SYFT01	SYFT01 sp013203475
ALNE18-1_SAMEA104408601_MAG_00000033	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Luminiphilus sp028117185
ALNE18-1_SAMEA104408599_MAG_00000060	1	1	1	0	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA966	UBA966 sp002737585
ALNE18-1_SAMEA104408600_MAG_00000090	1	1	0	0	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	SYAC01	SYAC01 sp937919205
ALNE18-1_SAMEA104408599_MAG_00000100	1	1	0	0	0	0	0	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	UBA10348	UBA10348	UBA10348 sp937877085
ALNE18-1_SAMEA104408598_MAG_00000034	1	1	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnohabitans_A	Limnohabitans_A sp937891665
ALNE18-1_SAMEA104408600_MAG_00000013	1	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	UBA969	UBA969 sp937888715
ALNE18-1_SAMEA104408599_MAG_00000077	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Unknown Rhodoferax
ALNE18-1_SAMEA104408599_MAG_00000052	1	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	BAIKAL-G1-2R	BAIKAL-G1-2R sp002737405
ALNE18-1_SAMEA104408601_MAG_00000060	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA8316	UBA8316 sp030830625
ALNE18-1_SAMEA104408601_MAG_00000096	1	0	1	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Fuerstiella	Fuerstiella sp937916515
ALNE18-1_SAMEA104408599_MAG_00000081	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	JAURFX01	JAURFX01	JAURFX01	Unknown JAURFX01
ALNE18-1_SAMEA104408601_MAG_00000136	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus	Unknown Porticoccus
ALNE18-1_SAMEA104408605_MAG_00000051	1	1	1	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	UBA10349	UBA10349 sp003485905
ALNE18-1_SAMEA104408604_MAG_00000054	1	1	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	HIMB30	HIMB30 sp018401755
ALNE18-1_SAMEA104408606_MAG_00000010	1	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	JABMPE01	JABMPE01 sp937899075
ALNE18-1_SAMEA104408603_MAG_00000014	1	0	0	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	GCA-002733185	Unknown GCA-002733185
ALNE18-1_SAMEA104408604_MAG_00000010	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UA16	UA16 sp937881575
ALNE18-1_SAMEA104408605_MAG_00000039	1	0	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	SW10	SW10 sp937916505
ALNE18-1_SAMEA104408602_MAG_00000076	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	HTCC2207	HTCC2207 sp017858295
ALNE18-1_SAMEA104408602_MAG_00000137	1	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	MB11C04	MB11C04	MB11C04 sp018607205
ALNE18-1_SAMEA104408611_MAG_00000051	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	SW4	SW4 sp937891785
ALNE18-1_SAMEA104408611_MAG_00000011	1	1	1	1	0	0	1	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter_A	Ilumatobacter_A sp937891565
ALNE18-1_SAMEA104408611_MAG_00000015	1	1	0	0	1	0	0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SZUA-35	JAHECQ01	JAHECQ01 sp937890445
ALNE18-1_SAMEA104408610_MAG_00000044	1	1	1	1	0	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	UBA964	UBA964 sp937920275
ALNE18-1_SAMEA104408611_MAG_00000066	0	1	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	RFXV01	RFXV01 sp937900215
ALNE18-1_SAMEA104408611_MAG_00000030	1	1	1	0	1	0	0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	IMCC26207	IMCC26207 sp945901935
ALNE18-1_SAMEA104408610_MAG_00000060	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Planktophila	Planktophila sp001438925
ALNE18-1_SAMEA104408610_MAG_00000029	1	1	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnohabitans	Limnohabitans sp937891045
ALNE18-1_SAMEA104408610_MAG_00000083	1	1	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp002292855
ALNE18-1_SAMEA104408611_MAG_00000079	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Bin95	Bin95	VMCJ01	VMCJ01 sp937891825
ALNE18-1_SAMEA104408610_MAG_00000061	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum_S
ALNE18-1_SAMEA104408607_MAG_00000065	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	JALQTG01	Unknown JALQTG01
ALNE18-1_SAMEA104408607_MAG_00000067	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus_B	Sphingorhabdus_B sp937881525
ALNE18-1_SAMEA104408607_MAG_00000032	1	0	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Algicoccus	Algicoccus sp937888805
ALNE18-1_SAMEA104408608_MAG_00000012	1	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	JABDJT01	JABDJT01 sp937891465
ALNE18-1_SAMEA104408612_MAG_00000020	1	1	1	0	1	0	0	Bacteria	Planctomycetota	UBA1135	UBA1135	GCA-002686595	JABACD01	JABACD01 sp937905825
ALNE18-1_SAMEA104408612_MAG_00000104	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	UBA5972	Unknown UBA5972
ALNE18-1_SAMEA104408612_MAG_00000057	1	1	1	0	0	0	0	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	VA-1	Unknown VA-1	Unknown VA-1
ALNE18-1_SAMEA104408612_MAG_00000049	1	1	0	0	0	0	0	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	F1-60-MAGs163	F1-60-MAGs163 sp030725785
ALNE18-1_SAMEA104408615_MAG_00000026	1	1	1	0	0	0	0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Casp-actino8	Casp-actino8 sp937902105
ALNE18-1_SAMEA104408612_MAG_00000053	1	1	1	1	0	0	1	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	BACL27	BACL27 sp937890395
ALNE18-1_SAMEA104408614_MAG_00000065	1	1	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	AAA044-D11	AAA044-D11 sp002367715
ALNE18-1_SAMEA104408615_MAG_00000007	1	1	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus sp002367815
ALNE18-1_SAMEA104408612_MAG_00000071	1	1	1	0	0	0	0	Bacteria	Planctomycetota	UBA1135	UBA1135	GCA-002686595	GCA-2686945	GCA-2686945 sp937910685
ALNE18-1_SAMEA104408612_MAG_00000011	1	1	1	0	0	0	0	Bacteria	Planctomycetota	UBA1135	UBA2386	UBA2386	GCA-2684655	GCA-2684655 sp937906475
ALNE18-1_SAMEA104408613_MAG_00000018	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Planktophila	Planktophila sp002430075
ALNE18-1_SAMEA104408612_MAG_00000051	1	1	1	0	0	0	0	Bacteria	Myxococcota	UBA9042	UBA9042	UBA9042	UBA9042	UBA9042 sp937910235
ALNE18-1_SAMEA104408612_MAG_00000111	1	0	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Algicoccus	Algicoccus sp937896225
ALNE18-1_SAMEA104408615_MAG_00000089	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Unknown Lutibacter
ALNE18-1_SAMEA104408615_MAG_00000062	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unknown Flavobacterium
ALNE18-1_SAMEA104408612_MAG_00000103	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter sp937891065
ALNE18-1_SAMEA104408615_MAG_00000075	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp937919725
ALNE18-1_SAMEA104408614_MAG_00000037	1	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	QWPN01	Unknown QWPN01
ALNE18-1_SAMEA104408612_MAG_00000080	1	0	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	CAMASH01	CAMASH01 sp937890535
ALNE18-1_SAMEA104408615_MAG_00000065	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	BACL14	BACL14 sp013205275
ALNE18-1_SAMEA104408612_MAG_00000076	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	NS11-12g	UBA9320	Unknown UBA9320	Unknown UBA9320
ALNE18-1_SAMEA104408615_MAG_00000009	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp001438205
ALNE18-1_SAMEA104408612_MAG_00000036	1	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia sp937910335
ALNE18-1_SAMEA104408613_MAG_00000002	1	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	UBA967	UBA967 sp937919825
ALNE18-1_SAMEA104408615_MAG_00000082	1	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	UBA967	UBA967 sp937888355
ALNE18-1_SAMEA104408612_MAG_00000084	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Aquiluna	Aquiluna sp002390305
ALNE18-1_SAMEA104408615_MAG_00000083	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Pelagibacter sp013204495
ALNE18-1_SAMEA104408620_MAG_00000031	1	1	1	1	0	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	SP197	SP197	CALGGB01	CALGGB01 sp937880925
ALNE18-1_SAMEA104408618_MAG_00000091	1	1	0	0	0	0	0	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Unknown Sulfurimonas
ALNE18-1_SAMEA104408616_MAG_00000052	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnohabitans_A	Limnohabitans_A sp937889215
ALNE18-1_SAMEA104408620_MAG_00000057	1	1	1	1	0	0	1	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Planktophila	Planktophila sp937888825
ALNE18-1_SAMEA104408621_MAG_00000007	1	1	1	1	0	0	1	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter_A	Ilumatobacter_A sp937905835
ALNE18-1_SAMEA104408619_MAG_00000053	1	1	1	1	0	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseicyclus	Roseicyclus sp937892565
ALNE18-1_SAMEA104408618_MAG_00000081	1	1	0	0	0	0	0	Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	JACNLC01	JABMOW01	JABMOW01 sp013204025
ALNE18-1_SAMEA104408618_MAG_00000031	1	1	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	GCA-002708315	Unknown GCA-002708315
ALNE18-1_SAMEA104408621_MAG_00000002	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	UBA10329	UBA10329	UBA10329	UBA10329 sp937900875
ALNE18-1_SAMEA104408618_MAG_00000078	0	0	0	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	UWMA-0277	UWMA-0277 sp014384505
ALNE18-1_SAMEA104408620_MAG_00000029	1	0	1	0	0	0	0	Bacteria	Planctomycetota	UBA1135	UBA1135	UBA1135	GCA-2746235	GCA-2746235 sp937919925
ALNE18-1_SAMEA104408630_MAG_00000014	1	1	0	1	0	1	1	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	Desulfobacula sp937880875
